# Valores esperados de observables
# Columnas:
# paso  <x>  <p>  <Ec>  <V>  <Etotal>
# 
7.100000000000000000e+02 2.577283395623414890e+02 8.576976345406432944e-01 1.310346627170032363e+00 6.899297934005419464e-01 2.000276420570574309e+00
7.150000000000000000e+02 2.585885185628065415e+02 8.576825078176882888e-01 1.312568149713956522e+00 6.877082708566139013e-01 2.000276420570570313e+00
7.200000000000000000e+02 2.594486832886945535e+02 8.576679102021501633e-01 1.315020395017251653e+00 6.852560255533154399e-01 2.000276420570567204e+00
7.250000000000000000e+02 2.603088308280888441e+02 8.576477922941521115e-01 1.317723402493630624e+00 6.825530180769325828e-01 2.000276420570563207e+00
7.300000000000000000e+02 2.611689560170171376e+02 8.576241586629902436e-01 1.320677816289687279e+00 6.795986042808731531e-01 2.000276420570560543e+00
7.350000000000000000e+02 2.620290593675176751e+02 8.576055016017529731e-01 1.323871378488662653e+00 6.764050420818945586e-01 2.000276420570557434e+00
7.400000000000000000e+02 2.628891495808687182e+02 8.575982669774461220e-01 1.327298663286737401e+00 6.729777572838164801e-01 2.000276420570553881e+00
7.450000000000000000e+02 2.637492373549379749e+02 8.575994294706874577e-01 1.330974729506230414e+00 6.693016910643199147e-01 2.000276420570550329e+00
7.500000000000000000e+02 2.646093259480305733e+02 8.575981476184764141e-01 1.334927956426754214e+00 6.653484641437924507e-01 2.000276420570546776e+00
7.550000000000000000e+02 2.654694080397522384e+02 8.575858189448666291e-01 1.339178219181979435e+00 6.610982013885636777e-01 2.000276420570543223e+00
7.600000000000000000e+02 2.663294728743159681e+02 8.575648608754249391e-01 1.343722777711141569e+00 6.565536428593981011e-01 2.000276420570539671e+00
7.650000000000000000e+02 2.671895172754619239e+02 8.575468558767679328e-01 1.348545759164547997e+00 6.517306614059880099e-01 2.000276420570536118e+00
7.700000000000000000e+02 2.680495494483371886e+02 8.575410417674285135e-01 1.353642974376148667e+00 6.466334461943840095e-01 2.000276420570532565e+00
7.750000000000000000e+02 2.689095811090191432e+02 8.575444663612995511e-01 1.359036659822695503e+00 6.412397607478329542e-01 2.000276420570528568e+00
7.800000000000000000e+02 2.697696154449176333e+02 8.575443727642019232e-01 1.364763569980591118e+00 6.355128505899334534e-01 2.000276420570524571e+00
7.850000000000000000e+02 2.706296434350717846e+02 8.575312569581532429e-01 1.370847093635688019e+00 6.294293269348333331e-01 2.000276420570521463e+00
7.900000000000000000e+02 2.714896531305507210e+02 8.575094740902559076e-01 1.377281769685974933e+00 6.229946508845431996e-01 2.000276420570518354e+00
7.950000000000000000e+02 2.723496429567633754e+02 8.574937893454291915e-01 1.384046900211135300e+00 6.162295203593788351e-01 2.000276420570513913e+00
8.000000000000000000e+02 2.732096250567320794e+02 8.574944799088971559e-01 1.391135366944154406e+00 6.091410536263559550e-01 2.000276420570510361e+00
8.050000000000000000e+02 2.740696143583285789e+02 8.575062105586075401e-01 1.398566353464727907e+00 6.017100671057789008e-01 2.000276420570506808e+00
8.100000000000000000e+02 2.749296141374656486e+02 8.575129415470391647e-01 1.406366771623407175e+00 5.939096489470959694e-01 2.000276420570503255e+00
8.150000000000000000e+02 2.757896132846680644e+02 8.575044730407690441e-01 1.414540343835808844e+00 5.857360767346897479e-01 2.000276420570498814e+00
8.200000000000000000e+02 2.766495985996135119e+02 8.574872288977991586e-01 1.423058308803117900e+00 5.772181117673768069e-01 2.000276420570494817e+00
8.250000000000000000e+02 2.775095692572485291e+02 8.574772987543010094e-01 1.431883289289659134e+00 5.683931312808319092e-01 2.000276420570490821e+00
8.300000000000000000e+02 2.783695377679854346e+02 8.574827696736313509e-01 1.441001305992123838e+00 5.592751145783630973e-01 2.000276420570486824e+00
8.350000000000000000e+02 2.792295161016584188e+02 8.574944766266844320e-01 1.450427167802702311e+00 5.498492527677809605e-01 2.000276420570483271e+00
8.400000000000000000e+02 2.800895019478085715e+02 8.574955860154613863e-01 1.460177607334486316e+00 5.400988132359928473e-01 2.000276420570479274e+00
8.450000000000000000e+02 2.809494802777612108e+02 8.574798364564526487e-01 1.470242484236738978e+00 5.300339363337365217e-01 2.000276420570475722e+00
8.500000000000000000e+02 2.818094387901554683e+02 8.574584804561244944e-01 1.480586434156005549e+00 5.196899864144657322e-01 2.000276420570471281e+00
8.550000000000000000e+02 2.826693805462716114e+02 8.574482168201440491e-01 1.491178748242931951e+00 5.090976723275354443e-01 2.000276420570467284e+00
8.600000000000000000e+02 2.835293201446440321e+02 8.574533931246495211e-01 1.502017040055757979e+00 4.982593805147050858e-01 2.000276420570463287e+00
8.650000000000000000e+02 2.843892679372803514e+02 8.574621062314707887e-01 1.513117157671874713e+00 4.871592628985843554e-01 2.000276420570458846e+00
8.700000000000000000e+02 2.852492198744151324e+02 8.574602508583610838e-01 1.524480294906884748e+00 4.757961256635699354e-01 2.000276420570454849e+00
8.750000000000000000e+02 2.861091639293193225e+02 8.574474490909591573e-01 1.536074441172249561e+00 4.642019793982007925e-01 2.000276420570450409e+00
8.800000000000000000e+02 2.869690952350033513e+02 8.574369107616445218e-01 1.547850820934892013e+00 4.524255996355541209e-01 2.000276420570445968e+00
8.850000000000000000e+02 2.878290224558827504e+02 8.574398152152423735e-01 1.559775614080957329e+00 4.405008064894843089e-01 2.000276420570441527e+00
8.900000000000000000e+02 2.886889583748315431e+02 8.574524618812455756e-01 1.571840132462771766e+00 4.284362881076658192e-01 2.000276420570437530e+00
8.950000000000000000e+02 2.895489059167445589e+02 8.574608114740461806e-01 1.584038968791263269e+00 4.162374517791699313e-01 2.000276420570433089e+00
9.000000000000000000e+02 2.904088556673817152e+02 8.574565655880432846e-01 1.596343971346746216e+00 4.039324492236822106e-01 2.000276420570428648e+00
9.050000000000000000e+02 2.912687971016432016e+02 8.574458012032117882e-01 1.608706252436819417e+00 3.915701681336047346e-01 2.000276420570424207e+00
9.100000000000000000e+02 2.921287298895265394e+02 8.574406331406696502e-01 1.621083940532280332e+00 3.791924800381393235e-01 2.000276420570419766e+00
9.150000000000000000e+02 2.929886623960364318e+02 8.574446493969296590e-01 1.633462216798623468e+00 3.668142037717915804e-01 2.000276420570414881e+00
9.200000000000000000e+02 2.938486002733828855e+02 8.574496216687342853e-01 1.645841943214015002e+00 3.544344773563954942e-01 2.000276420570410441e+00
9.250000000000000000e+02 2.947085395483781554e+02 8.574466931479133303e-01 1.658211302053647307e+00 3.420651185167584707e-01 2.000276420570405556e+00
9.300000000000000000e+02 2.955684723370671918e+02 8.574377365170976484e-01 1.670534682277486693e+00 3.297417382929139218e-01 2.000276420570400671e+00
9.350000000000000000e+02 2.964283975544137775e+02 8.574329982066370981e-01 1.682771010399778389e+00 3.175054101706177301e-01 2.000276420570396230e+00
9.400000000000000000e+02 2.972883231551451217e+02 8.574383999592805061e-01 1.694897483141526440e+00 3.053789374288647940e-01 2.000276420570391345e+00
9.450000000000000000e+02 2.981482573058727894e+02 8.574484674043710841e-01 1.706908745432550223e+00 2.933676751378360703e-01 2.000276420570386460e+00
