# Probabilidades en los detectores
# Columnas:
# paso  PI  PD
# 
3.540000000000000000e+02 7.562073166480707557e-06 2.011896807716494311e-20
3.550000000000000000e+02 7.255120333097312401e-06 2.189251568907511682e-20
3.560000000000000000e+02 6.960052319550765398e-06 2.382041062324952132e-20
3.570000000000000000e+02 6.676432711618071375e-06 2.591590790108589048e-20
3.580000000000000000e+02 6.403840149310006699e-06 2.819338527000259605e-20
3.590000000000000000e+02 6.141867845757806229e-06 3.066843694632118626e-20
3.600000000000000000e+02 5.890123120033939505e-06 3.335797506866463784e-20
3.610000000000000000e+02 5.648226943555571016e-06 3.628033948605224920e-20
3.620000000000000000e+02 5.415813499726335664e-06 3.945541655452498747e-20
3.630000000000000000e+02 5.192529756479073991e-06 4.290476766965812124e-20
3.640000000000000000e+02 4.978035051388975119e-06 4.665176832000320799e-20
3.650000000000000000e+02 4.772000689033426957e-06 5.072175850866253133e-20
3.660000000000000000e+02 4.574109550281572476e-06 5.514220545717416347e-20
3.670000000000000000e+02 4.384055713203172556e-06 5.994287957803419748e-20
3.680000000000000000e+02 4.201544085292978601e-06 6.515604477989095786e-20
3.690000000000000000e+02 4.026290046713227568e-06 7.081666425312834625e-20
3.700000000000000000e+02 3.858019104263270551e-06 7.696262297365027706e-20
3.710000000000000000e+02 3.696466555791638696e-06 8.363496825966142993e-20
3.720000000000000000e+02 3.541377164772023363e-06 9.087816982061120222e-20
3.730000000000000000e+02 3.392504844770793966e-06 9.874040084976693865e-20
3.740000000000000000e+02 3.249612353539664601e-06 1.072738418326805604e-19
3.750000000000000000e+02 3.112470996473092131e-06 1.165350088737193756e-19
3.760000000000000000e+02 2.980860339175789761e-06 1.265851084824940322e-19
3.770000000000000000e+02 2.854567928891529572e-06 1.374904209121216908e-19
3.780000000000000000e+02 2.733389024550061025e-06 1.493227143025422116e-19
3.790000000000000000e+02 2.617126335194537875e-06 1.621596920553241972e-19
3.800000000000000000e+02 2.505589766557345697e-06 1.760854760523845654e-19
3.810000000000000000e+02 2.398596175557610252e-06 1.911911285306421615e-19
3.820000000000000000e+02 2.295969132498981987e-06 2.075752156387584648e-19
3.830000000000000000e+02 2.197538690751488142e-06 2.253444159317204202e-19
